Velocity:0,Velocity:1,Velocity:2,Points:0,Points:1,Points:2,,
0.13784701,-0.22038101,-0.00056039199,0.44879901,1.7952,2.7626501E-17,0.22439897,0
0.074225798,-0.23795,-0.000496377,0.67319798,1.7952,2.7626501E-17,0.22440005,0
-0.0119146,-0.211015,-0.00000489273,0.89759803,1.7952,2.7626501E-17,0.22440197,0
-0.075449198,-0.096282303,-0.000090117799,1.122,1.7952,2.7626501E-17,0.2244,0
-0.073139504,0.185918,-0.00120319,1.3464,1.7952,2.7626501E-17,0.2243999,0
0.0392971,0.75185698,-0.00358359,1.5707999,1.7952,2.7626501E-17,0.2244001,0
0.185918,0.073164701,-0.00121597,1.7952,1.7952,2.7626501E-17,0.2243999,0
0.24043299,-0.042744301,-0.00159335,2.0195999,1.7952,2.7626501E-17,0.22439,0
0.200308,0.108608,-0.00223259,2.2439899,1.7952,2.7626501E-17,0.2244001,0
0.090397298,0.269945,-0.0019537299,2.46839,1.7952,2.7626501E-17,0.2244,0
-0.037058901,0.22223701,-0.000879906,2.69279,1.7952,2.7626501E-17,0.2244001,0
-0.102435,-0.21529999,-0.000437376,2.9171901,1.7952,2.7626501E-17,0.2244,0
-0.00133167,-1.1852,-0.0033621001,3.1415901,1.7952,2.7626501E-17,0.2243998,0
0.102398,-0.215296,-0.000438602,3.3659899,1.7952,2.7626501E-17,0.2244001,0
0.037051,0.22224499,-0.00087862997,3.59039,1.7952,2.7626501E-17,0.2244,0
-0.090378404,0.269954,-0.00195249,3.81479,1.7952,2.7626501E-17,0.2243998,0
-0.20027401,0.108615,-0.0022328701,4.0391898,1.7952,2.7626501E-17,0.2244001,0
-0.240401,-0.042742498,-0.00159485,4.2635899,1.7952,2.7626501E-17,0.224399999999999,0
-0.185904,0.073161103,-0.00121593,4.4879899,1.7952,2.7626501E-17,0.2244,0
-0.0363742,0.75162297,-0.0032345201,4.7123899,1.7952,2.7626501E-17,0.2244001,0
0.073119,0.18590599,-0.00119773,4.93679,1.7952,2.7626501E-17,0.2244,0
0.075424299,-0.096293099,-0.000086894499,5.16119,1.7952,2.7626501E-17,0.2244001,0
0.0118921,-0.211015,-0.0000039962401,5.3855901,1.7952,2.7626501E-17,0.2244,0
-0.074241303,-0.23793399,-0.00049762602,5.6099901,1.7952,2.7626501E-17,0.2244001,0
-0.13785399,-0.22035199,-0.000562987,5.8343902,1.7952,2.7626501E-17,0.2244,0
-0.131937,-0.16520301,0.0013581,6.0587902,1.7952,2.7626501E-17,0.2243996,0
-0.0075967698,-0.043051001,0.0073772199,6.2831898,1.7952,2.7626501E-17,-6.2831898,0.2243999
0.0034411701,-0.48219201,0.00662032,2.7626501E-17,2.0195999,2.7626501E-17,0.224399,0
-0.12712701,-0.40873,0.00151702,0.224399,2.0195999,2.7626501E-17,0.22440001,0
-0.0148793,-0.301651,0.00032251299,0.44879901,2.0195999,2.7626501E-17,0.22439897,0
0.14109901,-0.24611799,0.00025542101,0.67319798,2.0195999,2.7626501E-17,0.22440005,0
0.219201,-0.228572,-0.000171789,0.89759803,2.0195999,2.7626501E-17,0.22440197,0
0.175303,-0.136729,-0.0011528099,1.122,2.0195999,2.7626501E-17,0.2244,0
0.042760599,0.240419,-0.00158749,1.3464,2.0195999,2.7626501E-17,0.2243999,0
-0.061646499,1.20804,-0.00027422799,1.5707999,2.0195999,2.7626501E-17,0.2244001,0
-0.096295699,0.075467803,-0.000096951102,1.7952,2.0195999,2.7626501E-17,0.2243999,0
-0.136728,-0.175293,-0.0011528099,2.0195999,2.0195999,2.7626501E-17,0.22439,0
-0.172766,-0.00539805,-0.00154797,2.2439899,2.0195999,2.7626501E-17,0.2244001,0
-0.192166,0.23016299,-0.00068846898,2.46839,2.0195999,2.7626501E-17,0.2244,0
-0.180618,0.282565,0.00071978202,2.69279,2.0195999,2.7626501E-17,0.2244001,0
-0.121745,0.00914241,0.000671015,2.9171901,2.0195999,2.7626501E-17,0.2244,0
-0.0029428301,-0.62660301,-0.0041243099,3.1415901,2.0195999,2.7626501E-17,0.2243998,0
0.121715,0.0091510303,0.00066918897,3.3659899,2.0195999,2.7626501E-17,0.2244001,0
0.18061601,0.282579,0.00071612198,3.59039,2.0195999,2.7626501E-17,0.2244,0
0.192186,0.23017301,-0.00068861397,3.81479,2.0195999,2.7626501E-17,0.2243998,0
0.172792,-0.0054024402,-0.00154565,4.0391898,2.0195999,2.7626501E-17,0.2244001,0
0.13674501,-0.17531499,-0.00115113,4.2635899,2.0195999,2.7626501E-17,0.224399999999999,0
0.096298501,0.0754373,-0.000096740601,4.4879899,2.0195999,2.7626501E-17,0.2244,0
0.067591198,1.21259,0.00092217902,4.7123899,2.0195999,2.7626501E-17,0.2244001,0
-0.042750999,0.240394,-0.0015852,4.93679,2.0195999,2.7626501E-17,0.2244,0
-0.175303,-0.13676,-0.00115315,5.16119,2.0195999,2.7626501E-17,0.2244001,0
-0.219212,-0.228596,-0.00017419099,5.3855901,2.0195999,2.7626501E-17,0.2244,0
-0.141114,-0.24612699,0.00025212701,5.6099901,2.0195999,2.7626501E-17,0.2244001,0
0.0148694,-0.301642,0.00031927499,5.8343902,2.0195999,2.7626501E-17,0.2244,0
0.127129,-0.40871301,0.00151373,6.0587902,2.0195999,2.7626501E-17,0.2243996,0
-0.0034308699,-0.482191,0.0066149598,6.2831898,2.0195999,2.7626501E-17,-6.2831898,0.22439
