"Velocity_average:0","Velocity_average:1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.057569,0.050038,1,0.125,-0.48,0.625,0
0.05756,0.04992,1,0.1255,-0.48,0.6255,0
0.057549,0.049789,1,0.126,-0.48,0.626,0
0.057529,0.049655,1,0.1265,-0.48,0.6265,0
0.057491,0.049543,1,0.127,-0.48,0.627,0
0.057452,0.049432,1,0.1275,-0.48,0.6275,0
0.057413,0.04932,1,0.128,-0.48,0.628,0
0.057375,0.049208,1,0.1285,-0.48,0.6285,0
0.057336,0.049097,1,0.129,-0.48,0.629,0
0.057298,0.048985,1,0.1295,-0.48,0.6295,0
0.057259,0.048873,1,0.13,-0.48,0.63,0
0.057221,0.048761,1,0.1305,-0.48,0.6305,0
0.057182,0.04865,1,0.131,-0.48,0.631,0
0.057144,0.048538,1,0.1315,-0.48,0.6315,0
0.057105,0.048422,1,0.132,-0.48,0.632,0
0.057058,0.048306,1,0.1325,-0.48,0.6325,0
0.05699,0.0482,1,0.133,-0.48,0.633,0
0.056922,0.048095,1,0.1335,-0.48,0.6335,0
0.056854,0.047989,1,0.134,-0.48,0.634,0
0.056786,0.047883,1,0.1345,-0.48,0.6345,0
0.056718,0.047778,1,0.135,-0.48,0.635,0
0.05665,0.047672,1,0.1355,-0.48,0.6355,0
0.056582,0.047566,1,0.136,-0.48,0.636,0
0.056515,0.047461,1,0.1365,-0.48,0.6365,0
0.056447,0.047355,1,0.137,-0.48,0.637,0
0.056379,0.047249,1,0.1375,-0.48,0.6375,0
0.056312,0.047148,1,0.138,-0.48,0.638,0
0.056238,0.04705,1,0.1385,-0.48,0.6385,0
0.056141,0.046951,1,0.139,-0.48,0.639,0
0.056044,0.046851,1,0.1395,-0.48,0.6395,0
0.055946,0.046751,1,0.14,-0.48,0.64,0
0.055849,0.046652,1,0.1405,-0.48,0.6405,0
0.055752,0.046552,1,0.141,-0.48,0.641,0
0.055654,0.046452,1,0.1415,-0.48,0.6415,0
0.055557,0.046353,1,0.142,-0.48,0.642,0
0.05546,0.046253,1,0.1425,-0.48,0.6425,0
0.055362,0.046153,1,0.143,-0.48,0.643,0
0.055265,0.046054,1,0.1435,-0.48,0.6435,0
0.055154,0.046041,1,0.144,-0.48,0.644,0
0.05521,0.045965,1,0.1445,-0.48,0.6445,0
0.055254,0.045874,1,0.145,-0.48,0.645,0
0.055299,0.045783,1,0.1455,-0.48,0.6455,0
0.055343,0.045693,1,0.146,-0.48,0.646,0
0.055387,0.045602,1,0.1465,-0.48,0.6465,0
0.055432,0.045511,1,0.147,-0.48,0.647,0
0.055476,0.04542,1,0.1475,-0.48,0.6475,0
0.055521,0.045329,1,0.148,-0.48,0.648,0
0.055565,0.045238,1,0.1485,-0.48,0.6485,0
0.055609,0.045148,1,0.149,-0.48,0.649,0
0.055654,0.045057,1,0.1495,-0.48,0.6495,0
0.055698,0.044966,1,0.15,-0.48,0.65,0
0.055743,0.044875,1,0.1505,-0.48,0.6505,0
0.055784,0.044801,1,0.151,-0.48,0.651,0
0.05582,0.044732,1,0.1515,-0.48,0.6515,0
0.055845,0.04465,1,0.152,-0.48,0.652,0
0.05587,0.044568,1,0.1525,-0.48,0.6525,0
0.055895,0.044487,1,0.153,-0.48,0.653,0
