Velocity_average:0,Points:1
1.1867,0.8405
1.1868,0.841
1.1868,0.8415
1.1869,0.842
1.1869,0.8425
1.187,0.843
1.187,0.8435
1.187,0.844
1.1871,0.8445
1.1871,0.845
1.1872,0.8455
1.1872,0.846
1.1872,0.8465
1.1873,0.847
1.1873,0.8475
1.1874,0.848
1.1874,0.8485
1.1874,0.849
1.1875,0.8495
1.1875,0.85
1.1876,0.8505
1.1876,0.851
1.1877,0.8515
1.1877,0.852
1.1877,0.8525
1.1878,0.853
1.1878,0.8535
1.1878,0.854
1.1879,0.8545
1.1879,0.855
1.1879,0.8555
1.1879,0.856
1.1879,0.8565
1.1879,0.857
1.1879,0.8575
1.188,0.858
1.188,0.8585
1.188,0.859
1.188,0.8595
1.188,0.86
1.188,0.8605
1.1881,0.861
1.1881,0.8615
1.1881,0.862
1.1881,0.8625
1.1881,0.863
1.1881,0.8635
1.1882,0.864
1.1882,0.8645
1.1882,0.865
1.1882,0.8655
1.1882,0.866
1.1882,0.8665
1.1882,0.867
1.1882,0.8675
1.1882,0.868
1.1881,0.8685
1.1881,0.869
1.1881,0.8695
1.1881,0.87
1.1881,0.8705
1.1881,0.871
1.1881,0.8715
1.1881,0.872
1.1881,0.8725
1.1881,0.873
1.1881,0.8735
1.188,0.874
1.188,0.8745
1.188,0.875
1.188,0.8755
1.188,0.876
1.188,0.8765
1.1879,0.877
1.188,0.8775
1.188,0.878
1.188,0.8785
1.188,0.879
1.188,0.8795
1.1881,0.88
1.1881,0.8805
1.1881,0.881
1.1881,0.8815
1.1881,0.882
1.1881,0.8825
1.1882,0.883
1.1882,0.8835
1.1882,0.884
1.1882,0.8845
1.1882,0.885
1.1882,0.8855
1.1883,0.886
1.1883,0.8865
1.1883,0.887
1.1883,0.8875
1.1883,0.888
1.1883,0.8885
1.1883,0.889
1.1884,0.8895
1.1884,0.89
1.1884,0.8905
1.1884,0.891
1.1884,0.8915
1.1885,0.892
1.1885,0.8925
1.1885,0.893
1.1885,0.8935
1.1885,0.894
1.1885,0.8945
1.1885,0.895
1.1885,0.8955
1.1886,0.896
1.1886,0.8965
1.1886,0.897
1.1886,0.8975
1.1886,0.898
1.1886,0.8985
1.1886,0.899
1.1886,0.8995
1.1886,0.9
1.1887,0.9005
1.1887,0.901
1.1887,0.9015
1.1887,0.902
1.1887,0.9025
1.1887,0.903
1.1887,0.9035
1.1887,0.904
1.1887,0.9045
1.1888,0.905
1.1888,0.9055
1.1888,0.906
1.1888,0.9065
1.1888,0.907
