Velocity_average:0,Points:1,,Velocity_average:0,Points:1
1.12216,0.6825,,1.12072,0.6825
1.1231,0.683,,1.12168,0.683
1.12406,0.6835,,1.12264,0.6835
1.12502,0.684,,1.12362,0.684
1.12598,0.6845,,1.12458,0.6845
1.12694,0.685,,1.12554,0.685
1.1279,0.6855,,1.12652,0.6855
1.12886,0.686,,1.12748,0.686
1.12968,0.6865,,1.12832,0.6865
1.13032,0.687,,1.12898,0.687
1.13104,0.6875,,1.12972,0.6875
1.13178,0.688,,1.13046,0.688
1.13252,0.6885,,1.1312,0.6885
1.13324,0.689,,1.13194,0.689
1.13398,0.6895,,1.13268,0.6895
1.1347,0.69,,1.13342,0.69
1.13544,0.6905,,1.13416,0.6905
1.13618,0.691,,1.1349,0.691
1.1369,0.6915,,1.13564,0.6915
1.13764,0.692,,1.13638,0.692
1.13836,0.6925,,1.13712,0.6925
1.1391,0.693,,1.13786,0.693
1.13984,0.6935,,1.1386,0.6935
1.14056,0.694,,1.13936,0.694
1.14114,0.6945,,1.13994,0.6945
1.14156,0.695,,1.14038,0.695
1.14206,0.6955,,1.1409,0.6955
1.14256,0.696,,1.14142,0.696
1.14308,0.6965,,1.14192,0.6965
1.14358,0.697,,1.14244,0.697
1.14408,0.6975,,1.14296,0.6975
1.14458,0.698,,1.14348,0.698
1.1451,0.6985,,1.14398,0.6985
1.1456,0.699,,1.1445,0.699
1.1461,0.6995,,1.14502,0.6995
1.1466,0.7,,1.14554,0.7
1.14712,0.7005,,1.14604,0.7005
1.14762,0.701,,1.14656,0.701
1.14812,0.7015,,1.14708,0.7015
1.14862,0.702,,1.1476,0.702
1.14894,0.7025,,1.14792,0.7025
1.14916,0.703,,1.14818,0.703
1.14944,0.7035,,1.14846,0.7035
1.14972,0.704,,1.14874,0.704
1.15,0.7045,,1.14904,0.7045
1.15028,0.705,,1.14932,0.705
1.15056,0.7055,,1.14962,0.7055
1.15084,0.706,,1.1499,0.706
1.15112,0.7065,,1.1502,0.7065
1.1514,0.707,,1.15048,0.707
1.15166,0.7075,,1.15076,0.7075
1.15194,0.708,,1.15106,0.708
1.15222,0.7085,,1.15134,0.7085
1.1525,0.709,,1.15164,0.709
1.15278,0.7095,,1.15192,0.7095
1.15306,0.71,,1.15222,0.71
1.15312,0.7105,,1.1523,0.7105
1.15314,0.711,,1.15234,0.711
1.15318,0.7115,,1.1524,0.7115
1.15324,0.712,,1.15246,0.712
1.15328,0.7125,,1.15252,0.7125
1.15334,0.713,,1.15258,0.713
1.1534,0.7135,,1.15264,0.7135
1.15344,0.714,,1.1527,0.714
1.1535,0.7145,,1.15278,0.7145
1.15354,0.715,,1.15284,0.715
1.1536,0.7155,,1.1529,0.7155
1.15364,0.716,,1.15296,0.716
1.1537,0.7165,,1.15302,0.7165
1.15374,0.717,,1.15308,0.717
1.1538,0.7175,,1.15314,0.7175
1.15386,0.718,,1.1532,0.718
1.15428,0.7185,,1.15366,0.7185
1.1547,0.719,,1.1541,0.719
1.15508,0.7195,,1.15452,0.7195
1.15548,0.72,,1.15492,0.72
1.15586,0.7205,,1.15534,0.7205
1.15624,0.721,,1.15576,0.721
1.15662,0.7215,,1.15616,0.7215
1.15702,0.722,,1.15658,0.722
1.1574,0.7225,,1.157,0.7225
1.15778,0.723,,1.1574,0.723
1.15818,0.7235,,1.15782,0.7235
1.15856,0.724,,1.15822,0.724
1.15894,0.7245,,1.15864,0.7245
1.15934,0.725,,1.15906,0.725
1.15972,0.7255,,1.15946,0.7255
1.1601,0.726,,1.15988,0.726
1.1605,0.7265,,1.1603,0.7265
1.16088,0.727,,1.1607,0.727
1.16122,0.7275,,1.16106,0.7275
1.1615,0.728,,1.16138,0.728
1.16176,0.7285,,1.16166,0.7285
1.16202,0.729,,1.16194,0.729
1.16226,0.7295,,1.16222,0.7295
1.16252,0.73,,1.1625,0.73
1.16276,0.7305,,1.1628,0.7305
1.16302,0.731,,1.16308,0.731
1.16326,0.7315,,1.16336,0.7315
1.16352,0.732,,1.16364,0.732
1.16376,0.7325,,1.16392,0.7325
1.16402,0.733,,1.1642,0.733
1.16426,0.7335,,1.16448,0.7335
1.16452,0.734,,1.16476,0.734
1.16476,0.7345,,1.16504,0.7345
1.16502,0.735,,1.16532,0.735
1.16526,0.7355,,1.1656,0.7355
