Velocity:0,Velocity:1,Points:0,Points:1,Points:2,
-8.0741699E-19,0.58783299,-9.9967403E-19,5.65487,0,0
-8.2986399E-19,0.55557001,-9.9967403E-19,5.69414,0,0
-8.5102301E-19,0.52244598,-9.9967403E-19,5.7334099,0,0
-8.7082504E-19,0.48859501,-9.9967403E-19,5.7726798,0,0
-8.8927199E-19,0.45401701,-9.9967403E-19,5.8119502,0,0
-9.0636196E-19,0.41871399,-9.9967403E-19,5.8512201,0,0
-9.2209504E-19,0.38268301,-9.9967403E-19,5.8904901,0,0
-9.3639803E-19,0.34605899,-9.9967403E-19,5.92976,0,0
-9.4922904E-19,0.308988,-9.9967403E-19,5.9690299,0,0
-9.6058799E-19,0.271469,-9.9967403E-19,6.0082998,0,0
-9.7047497E-19,0.233504,-9.9967403E-19,6.0475702,0,0
-9.7889102E-19,0.19509,-9.9967403E-19,6.0868402,0,0
-9.8578805E-19,0.15637399,-9.9967403E-19,6.1261101,0,0
-9.9115397E-19,0.117507,-9.9967403E-19,6.16538,0,0
-9.9498899E-19,0.078489199,-9.9967403E-19,6.2046499,0,0
-9.9729403E-19,0.0393201,-9.9967403E-19,6.2439198,0,0
-9.9806899E-19,-4.1364801E-13,-9.9967403E-19,6.2831898,0,0.039269902
0.0393201,9.9729403E-19,0.039269902,-9.9967403E-19,0,0
0.039289601,-0.039289601,0.039269902,0.039269902,0,0
0.039198801,-0.078428298,0.039269902,0.078539804,0,0
0.039047699,-0.117416,0.039269902,0.11781,0,0
0.0388363,-0.156253,0.039269902,0.15707999,0,0
0.0385646,-0.194939,0.039269902,0.19634999,0,0
0.038233101,-0.23332199,0.039269902,0.23561899,0,0
0.037843499,-0.27125901,0.039269902,0.27488899,0,0
0.037395999,-0.30874801,0.039269902,0.31415901,0,0
0.036890499,-0.34579101,0.039269902,0.35342899,0,0
0.036327101,-0.382386,0.039269902,0.392699,0,0
0.035707202,-0.41838899,0.039269902,0.43196899,0,0
0.0350339,-0.45366499,0.039269902,0.471239,0,0
